#ZeropointFile: y3a1_fgcm_all_v2_5_full_redux.fits
#AtmosphereFile: y3a1_fgcm_all_v2_5_atmospheres_StdAtm.fits
#FGCMVersion: 0.12.1
NVAR: 15
VARNAMES: ROW DES_SNID MJD EXPNUM PHASE zHD BAND MAGCOR FRACNEGFLUX FLUXCAL_MODEL CCDNUM FULL_CORRs gFlux rFlux iFlux zFlux
ROW: 1248677-56611.287-i 1248677 56611.287 254275 56.961 0.350 i +5.215e-03 0.000e+0 +4.556e+01 38 1 7.63735961914 23.212480545 45.5570449829 42.7603416443
ROW: 1248677-56611.323-r 1248677 56611.323 254291 57.000 0.350 r -4.703e-03 0.000e+0 +2.321e+01 38 1 7.63735961914 23.212480545 45.5570449829 42.7603416443
ROW: 1248677-56590.356-g 1248677 56590.356 246085 36.031 0.350 g +0.000e+00 9.570e-02 +1.680e+01 38 0 16.7973995209 49.2216339111 94.5076141357 91.6919708252
ROW: 1248677-56615.157-z 1248677 56615.157 255905 60.832 0.350 z -1.123e-03 0.000e+0 +3.711e+01 38 0 7.63735961914 21.9203586578 41.3961868286 37.1122016907
ROW: 1248677-56615.230-i 1248677 56615.230 255924 60.906 0.350 i +5.780e-03 0.000e+0 +4.140e+01 38 1 7.63735961914 21.9203586578 41.3961868286 37.1122016907
ROW: 1248677-56615.255-r 1248677 56615.255 255930 60.930 0.350 r -5.044e-03 0.000e+0 +2.192e+01 38 1 7.63735961914 21.9203586578 41.3961868286 37.1122016907
ROW: 1248677-56617.043-g 1248677 56617.043 256563 62.719 0.350 g +4.403e-03 1.577e-01 +7.637e+00 38 1 7.63735961914 21.9203586578 41.3961868286 37.1122016907
ROW: 1253920-56567.219-g 1253920 56567.219 240534 -16.039 0.196 g +1.099e-03 3.681e-02 +6.761e+01 29 1 67.6148834229 75.4066543579 74.1910018921 0.0
ROW: 1253920-56567.222-r 1253920 56567.222 240535 -16.035 0.196 r -6.400e-03 0.000e+0 +7.541e+01 29 1 67.6148834229 75.4066543579 74.1910018921 0.0
ROW: 1253920-56567.224-i 1253920 56567.224 240536 -16.035 0.196 i -4.596e-03 0.000e+0 +7.419e+01 29 1 67.6148834229 75.4066543579 74.1910018921 0.0
ROW: 1253920-56575.191-g 1253920 56575.191 242477 -8.066 0.196 g +7.888e-04 0.000e+0 +4.804e+02 29 1 480.365020752 425.558654785 381.429779053 0.0
ROW: 1253920-56575.194-r 1253920 56575.194 242478 -8.063 0.196 r -2.067e-03 0.000e+0 +4.256e+02 29 1 480.365020752 425.558654785 381.429779053 0.0
ROW: 1253920-56575.196-i 1253920 56575.196 242479 -8.063 0.196 i +1.593e-03 0.000e+0 +3.814e+02 29 1 480.365020752 425.558654785 381.429779053 0.0
ROW: 1253920-56579.181-g 1253920 56579.181 243935 -4.078 0.196 g +1.994e-03 0.000e+0 +6.416e+02 29 1 641.627807617 575.142883301 474.963104248 0.0
ROW: 1253920-56579.183-r 1253920 56579.183 243936 -4.074 0.196 r -4.295e-04 0.000e+0 +5.751e+02 29 1 641.627807617 575.142883301 474.963104248 0.0
ROW: 1253920-56579.185-i 1253920 56579.185 243937 -4.074 0.196 i +4.951e-03 0.000e+0 +4.750e+02 29 1 641.627807617 575.142883301 474.963104248 0.0
ROW: 1253920-56590.341-g 1253920 56590.341 246077 7.082 0.196 g +2.152e-03 0.000e+0 +4.859e+02 29 1 485.93447876 578.013671875 443.219451904 0.0
ROW: 1253920-56590.343-r 1253920 56590.343 246078 7.086 0.196 r -3.979e-04 0.000e+0 +5.780e+02 29 1 485.93447876 578.013671875 443.219451904 0.0
ROW: 1253920-56590.345-i 1253920 56590.345 246079 7.086 0.196 i +8.460e-03 0.000e+0 +4.432e+02 29 1 485.93447876 578.013671875 443.219451904 0.0
ROW: 1253920-56594.133-g 1253920 56594.133 247953 10.875 0.196 g +8.271e-03 0.000e+0 +3.557e+02 29 1 355.665557861 484.931091309 353.570983887 0.0
ROW: 1253920-56594.135-r 1253920 56594.135 247954 10.879 0.196 r -5.303e-04 0.000e+0 +4.849e+02 29 1 355.665557861 484.931091309 353.570983887 0.0
ROW: 1253920-56594.137-i 1253920 56594.137 247955 10.879 0.196 i +9.693e-03 0.000e+0 +3.536e+02 29 1 355.665557861 484.931091309 353.570983887 0.0
ROW: 1253920-56602.119-g 1253920 56602.119 251113 18.859 0.196 g +1.216e-02 1.572e-03 +1.541e+02 29 1 154.082702637 323.473876953 268.38180542 0.0
ROW: 1253920-56602.121-r 1253920 56602.121 251114 18.863 0.196 r -1.106e-03 0.000e+0 +3.235e+02 29 1 154.082702637 323.473876953 268.38180542 0.0
ROW: 1253920-56602.123-i 1253920 56602.123 251115 18.863 0.196 i +5.452e-03 0.000e+0 +2.684e+02 29 1 154.082702637 323.473876953 268.38180542 0.0
ROW: 1253920-56607.055-g 1253920 56607.055 252743 23.797 0.196 g -7.077e-08 0.000e+0 +9.485e+01 29 0 94.8472213745 261.402099609 249.728713989 0.0
ROW: 1253920-56607.058-r 1253920 56607.058 252744 23.801 0.196 r +9.831e-04 0.000e+0 +2.614e+02 29 1 94.8472213745 261.402099609 249.728713989 0.0
ROW: 1253920-56607.060-i 1253920 56607.060 252745 23.801 0.196 i +5.291e-03 0.000e+0 +2.497e+02 29 1 94.8472213745 261.402099609 249.728713989 0.0
ROW: 1253920-56614.073-g 1253920 56614.073 255449 30.816 0.196 g +1.166e-02 1.834e-02 +5.682e+01 29 1 56.8207015991 187.634353638 211.407531738 0.0
ROW: 1253920-56614.075-r 1253920 56614.075 255450 30.816 0.196 r -6.003e-04 0.000e+0 +1.876e+02 29 1 56.8207015991 187.634353638 211.407531738 0.0
