# Created by makemaps.py - Dillon Brout
DEFINE_FIELDGROUP: SHALLOW E1+E2+S1+S2+C1+C2+X1+X2
DEFINE_FIELDGROUP: DEEP C3+X3

# =====================================
MAPNAME: FLUXERR_SCALE_SBMAG
BAND: g	FIELD: SHALLOW
NVAR: 2
VARNAMES:	SBMAG	ERRSCALE
ROW:		0.7250	1.04
ROW:		0.8250	1.03
ROW:		0.9250	1.01
ROW:		1.0250	1.00
ROW:		1.1250	0.99
ROW:		1.2250	0.99
ROW:		1.3250	0.99
ROW:		1.4250	0.99
ROW:		1.5250	1.00
ROW:		1.6250	1.01
ROW:		1.7250	1.02
ROW:		1.8250	1.04
ROW:		1.9250	1.06
ROW:		2.0250	1.11
ENDMAP:

MAPNAME: FLUXERR_SCALE_LOGSNR
BAND: z	FIELD: DEEP
NVAR: 2
VARNAMES:	LOGSNR	ERRSCALE
ROW:		0.1250	0.89
ROW:		0.2250	0.94
ROW:		0.3250	0.98
ROW:		0.4250	1.01
ROW:		0.5250	1.02
ROW:		0.6250	1.03
ROW:		0.7250	1.01
ROW:		0.8250	1.00
ROW:		0.9250	0.99
ROW:		1.0250	0.99
ROW:		1.1250	0.99
ROW:		1.2250	1.02
ROW:		1.3250	1.05
ROW:		1.4250	1.06
ROW:		1.5250	1.07
ROW:		1.6250	1.07
ROW:		1.7250	1.06
ROW:		1.8250	1.04
ROW:		1.9250	1.06
ROW:		2.0250	1.11
ENDMAP:

