SNID,IDSURVEY,RA,DEC,HOSTGAL_OBJID,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SPECZ,HOSTGAL_PHOTOZ,FULL_SNID
AT2017ns,150,42.293224,14.600795,0,-999,-999,-9,-9,
AT2017oz,150,211.673083,30.318828,0,-999,-999,-9,-9,
AT2017po,150,240.965499,39.990077,0,-999,-999,-9,-9,
AT2017wb,150,165.331246,70.664925,0,-999,-999,-9,-9,
AT2017yk,150,146.13246,-12.308159,0,-999,-999,-9,-9,
AT2017zd,150,203.175618,-21.801073,0,-999,-999,-9,-9,
ATLAS16agv,150,250.290312,50.972448,0,-999,-999,-9,-9,
ATLAS16bwu,150,18.59275,-13.15309,0,-999,-999,-9,-9,
ATLAS17ajn,150,176.110698,-28.457445,0,-999,-999,-9,-9,
ATLAS17ajs,150,171.977219,27.34584,0,-999,-999,-9,-9,
ATLAS17axb,150,205.846914,-19.943651,0,-999,-999,-9,-9,
CSS160129,150,115.123359,10.933302,0,-999,-999,-9,-9,
CSS160428,150,200.780011,52.649075,0,-999,-999,-9,-9,
Gaia16acv,150,179.957435,54.802153,0,-999,-999,-9,-9,
Gaia16agf,150,98.537349,-25.1846,0,-999,-999,-9,-9,
Gaia16aki,150,239.794039,14.641615,0,-999,-999,-9,-9,
Gaia16bba,150,15.398037,17.101263,0,-999,-999,-9,-9,
MASTERJ0134,150,23.562693,-17.812061,0,-999,-999,-9,-9,
PS15ahs,150,269.87404,43.390097,0,-999,-999,-9,-9,
PS15aii,150,191.189753,9.759673,0,-999,-999,-9,-9,
PS15asb,150,215.084663,-9.300908,0,-999,-999,-9,-9,
PS15atx,150,195.82739,-23.065799,0,-999,-999,-9,-9,
PS15bdr,150,253.705907,36.725196,0,-999,-999,-9,-9,
PS15bif,150,305.073991,-23.743529,0,-999,-999,-9,-9,
PS15bjg,150,343.79343,-0.410242,0,-999,-999,-9,-9,
PS15brr,150,358.356385,-15.654507,0,-999,-999,-9,-9,
PS15bsq,150,355.467353,-8.637876,0,-999,-999,-9,-9,
PS15bwh,150,352.644135,-18.891496,0,-999,-999,-9,-9,
PS15bzz,150,9.42473,1.762823,0,-999,-999,-9,-9,
PS15cms,150,149.646205,0.743034,0,-999,-999,-9,-9,
PS15cwx,150,78.699191,7.050389,0,-999,-999,-9,-9,
PS15cze,150,56.847625,0.87723,0,-999,-999,-9,-9,
PS15mt,150,148.684075,23.198113,0,-999,-999,-9,-9,
PS16aer,150,163.742475,14.27164,0,-999,-999,-9,-9,
PS16axi,150,162.029682,0.163508,0,-999,-999,-9,-9,
PS16ayd,150,216.826402,-1.675306,0,-999,-999,-9,-9,
PS16bby,150,215.075159,-22.189016,0,-999,-999,-9,-9,
PS16bnz,150,155.15375,-2.46675,0,-999,-999,-9,-9,
PS16cqa,150,234.779179,9.294622,0,-999,-999,-9,-9,
PS16cvc,150,318.097268,14.779329,0,-999,-999,-9,-9,
PS16dnp,150,344.914598,2.149809,0,-999,-999,-9,-9,
PS16el,150,162.802241,19.362543,0,-999,-999,-9,-9,
PS16em,150,163.891643,-3.366272,0,-999,-999,-9,-9,
PS16evk,150,338.344432,-1.357034,0,-999,-999,-9,-9,
PS16fa,150,154.819282,4.761707,0,-999,-999,-9,-9,
PS16fbb,150,1.763091,-20.696811,0,-999,-999,-9,-9,
PS16n,150,75.933268,3.41251,0,-999,-999,-9,-9,
PS17akj,150,207.454779,-3.08002,0,-999,-999,-9,-9,
PS17bii,150,171.409394,7.333603,0,-999,-999,-9,-9,
PS17tn,150,145.806809,41.317324,0,-999,-999,-9,-9,
PS17yt,150,150.991466,49.041248,0,-999,-999,-9,-9,
PSNJ0153424,150,28.426723,29.936284,0,-999,-999,-9,-9,
PSNJ0859349,150,134.895428,45.925856,0,-999,-999,-9,-9,
PSNJ1204051,150,181.021298,14.068113,0,-999,-999,-9,-9,
PSNJ2352371,150,358.15476,14.552489,0,-999,-999,-9,-9,
PTSS17-niq,150,215.069408,15.341661,0,-999,-999,-9,-9,
SN2016aqb,150,170.49333,-13.98367,0,-999,-999,-9,-9,
SN2016ayg,150,112.572436,25.032055,0,-999,-999,-9,-9,
SN2016esh,150,241.059778,16.690242,0,-999,-999,-9,-9,
SN2016glp,150,354.058317,23.69597,0,-999,-999,-9,-9,
SN2016glz,150,1.47323,8.430188,0,-999,-999,-9,-9,
SN2016gmb,150,8.686078,-6.158891,0,-999,-999,-9,-9,
SN2016grz,150,28.887355,33.822918,0,-999,-999,-9,-9,
SN2016hhv,150,353.95205,20.70881,0,-999,-999,-9,-9,
SN2016hpx,150,90.81938,-26.898583,0,-999,-999,-9,-9,
SN2016ixf,150,159.935681,15.034696,0,-999,-999,-9,-9,
SN2017cii,150,248.332828,23.731273,0,-999,-999,-9,-9,
SN2017cjv,150,152.690199,-3.777521,0,-999,-999,-9,-9,
SN2017ckx,150,117.045391,28.230711,0,-999,-999,-9,-9,
SN2017coa,150,132.480332,56.099045,0,-999,-999,-9,-9,
SN2017cpu,150,211.968898,9.642034,0,-999,-999,-9,-9,
SN2017hn,150,196.914215,6.337602,0,-999,-999,-9,-9,
SN2017mf,150,214.129418,39.586353,0,-999,-999,-9,-9,
SN2017ms,150,156.67644,36.680529,0,-999,-999,-9,-9,
iPTF17dz,150,126.106898,24.997796,0,-999,-999,-9,-9,
