SNID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,Found
SN2005ku,124.0,5.0,1.0,0.04525,1e-05,0.04397,1e-05,0.04439,0.00087,-120.6,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.93,0.13,0.8,-999.0,53699.5117,0.3001,-0.0773,0.1768,0.0733,0.0146,17.3078,0.0183,17.0916,0.0021423,3.6206e-05,0.0003,0.0,-0.0,25.0,0.0271,-9.0,-9.0,-9.0,-9.0,-9.0,36.4148,0.1588,0.0,-0.0435,1.0,0.0188,True
SN2005lz,11.0,64.0,1.0,0.04624,0.00014,0.04541,0.00014,0.04643,0.00088,-292.46,250.0,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.04,0.26,1.47,-999.0,53736.3945,0.1737,-1.2436,0.1532,0.0473,0.0182,17.3675,0.0266,17.1291,0.0020277,4.9654e-05,0.0002,-0.0,-0.0,44.0,0.8987,-9.0,-9.0,-9.0,-9.0,-9.0,36.4523,0.1238,0.0,-0.0905,1.0,0.0088,True
SN2005ms,148.0,64.0,1.0,0.02522,1e-05,0.02595,1e-05,0.02669,0.00086,-217.49,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.33,0.1,0.75,-999.0,53744.0508,0.1078,0.5321,0.1044,-0.0361,0.0154,15.8881,0.02,16.1596,0.0079206,0.00014612,0.0004,-0.0,-0.0,39.0,0.9885,-9.0,-9.0,-9.0,-9.0,-9.0,35.4828,0.1124,0.0,-0.0546,1.0,0.004,True
SN2005na,100.0,64.0,1.0,0.02665,8e-05,0.02717,8e-05,0.02748,0.00086,-88.88,250.0,0.07,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.11,0.26,1.47,-999.0,53741.4062,0.132,-0.3651,0.0552,-0.0624,0.01,15.7401,0.017,15.9407,0.009077,0.00014198,0.0,-0.0,-0.0,142.0,0.0211,-9.0,-9.0,-9.0,-9.0,-9.0,35.2639,0.1039,0.0,-0.0458,1.0,0.0034,True
SN2006S,27.0,64.0,1.0,0.03224,1e-05,0.0331,1e-05,0.03393,0.00086,-240.12,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.45,0.1,0.99,-999.0,53770.4648,0.122,1.0013,0.0829,0.0357,0.0132,16.575,0.0149,16.7156,0.0042071,5.7871e-05,0.0001,-0.0,-0.0,80.0,0.9999,-9.0,-9.0,-9.0,-9.0,-9.0,36.0388,0.1258,0.0,-0.0721,1.0,0.0092,True
SN2006al,67.0,64.0,1.0,0.0678,2e-05,0.06908,2e-05,0.06886,0.00089,60.41,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.05,0.12,1.38,-999.0,53787.4727,0.6478,-1.3643,0.2823,-0.0918,0.0253,18.1432,0.0484,18.264,0.00099249,4.4209e-05,0.002,-0.0,-0.0,28.0,0.8574,-9.0,-9.0,-9.0,-9.0,-9.0,37.5872,0.1065,0.0,-0.0354,1.0,0.002,True
SN2006az,129.0,64.0,1.0,0.03103,1e-05,0.03158,1e-05,0.03201,0.00086,-124.25,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.15,0.09,1.62,-999.0,53826.8867,0.1166,-1.3312,0.058,-0.0634,0.0132,16.2217,0.0152,16.2687,0.0058252,8.1788e-05,0.0001,-0.0,-0.0,115.0,0.9808,-9.0,-9.0,-9.0,-9.0,-9.0,35.5919,0.0999,0.0,-0.0448,1.0,0.0033,True
SN2006cf,174.0,64.0,1.0,0.04146,1e-05,0.04223,1e-05,0.04268,0.00087,-129.54,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.81,0.1,0.93,-999.0,53874.207,0.6571,-0.2387,0.2848,-0.1019,0.0261,16.7891,0.0425,17.1092,0.0034544,0.00013536,0.0014,-0.0,-0.0,10.0,0.0747,-9.0,-9.0,-9.0,-9.0,-9.0,36.4324,0.1039,0.0,-0.022,1.0,0.0027,True
SN2006cq,152.0,64.0,1.0,0.04844,2e-05,0.04928,2e-05,0.04944,0.00088,-44.67,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.16,0.34,1.36,-999.0,53890.4375,0.5474,1.0172,0.4248,0.0192,0.0184,17.3388,0.0209,17.526,0.0020821,4.0098e-05,0.0035,-0.0,-0.0,16.0,0.8387,-9.0,-9.0,-9.0,-9.0,-9.0,36.8492,0.1207,0.0,-0.0647,1.0,0.0065,True
SN2006en,66.0,64.0,1.0,0.03198,1e-05,0.03081,1e-05,0.03162,0.00086,-236.15,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.91,0.15,1.05,-999.0,53972.2695,0.4164,0.1057,0.125,0.0475,0.0169,16.5291,0.0317,16.4939,0.004389,0.00012826,-0.0003,0.0,-0.0,41.0,0.4833,-9.0,-9.0,-9.0,-9.0,-9.0,35.8171,0.1326,0.0,-0.0771,1.0,0.0104,True
SN2006ev,78.0,64.0,1.0,0.02873,1e-05,0.02759,1e-05,0.0281,0.00086,-149.12,250.0,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.8,0.16,1.47,-999.0,53989.7461,0.2906,-1.3466,0.0872,0.0724,0.016,16.7667,0.0321,16.4372,0.0035262,0.00010414,0.0,0.0,-0.0,73.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,35.7604,0.1454,0.0,-0.094,1.0,0.0132,True
SN2006gr,91.0,64.0,1.0,0.03467,1e-05,0.03352,1e-05,0.03428,0.00086,-220.64,250.0,0.07,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.72,0.09,1.22,-999.0,54013.3555,0.0896,0.9424,0.086,0.0722,0.0133,16.7305,0.0203,16.7565,0.0036459,6.8127e-05,0.0001,-0.0,-0.0,71.0,0.9604,-9.0,-9.0,-9.0,-9.0,-9.0,36.0797,0.1398,0.0,-0.0808,1.0,0.0129,True
SN2006lu,6.0,5.0,1.0,0.0534,9e-05,0.05449,9e-05,0.05346,0.00088,291.11,250.0,0.1,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.25,0.09,0.97,-999.0,54036.3984,0.3974,0.3094,0.0965,-0.0921,0.0152,17.264,0.0321,17.6449,0.0022304,6.5904e-05,-0.0002,0.0,-0.0,52.0,0.9814,-9.0,-9.0,-9.0,-9.0,-9.0,36.9681,0.0844,0.0,-0.0252,1.0,0.0025,True
SN2006mo,176.0,64.0,1.0,0.03718,0.00016,0.03616,0.00016,0.03702,0.00088,-249.26,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.76,0.08,1.54,-999.0,54047.4336,0.3274,-2.2735,0.1325,0.0381,0.022,17.1496,0.0342,16.7659,0.0024782,7.8172e-05,-0.0001,0.0,-0.0,30.0,0.5011,-9.0,-9.0,-9.0,-9.0,-9.0,36.0891,0.1315,0.0,-0.082,1.0,0.0094,True
SN2006oa,193.0,64.0,1.0,0.06257,1e-05,0.06142,1e-05,0.06153,0.00089,-33.08,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,8.91,0.46,0.67,-999.0,54067.1367,0.1618,1.4449,0.2524,-0.0119,0.0161,17.6365,0.0208,17.9218,0.0015827,3.0314e-05,0.0017,-0.0,-0.0,51.0,0.7892,-9.0,-9.0,-9.0,-9.0,-9.0,37.245,0.11,0.0,-0.0344,1.0,0.0066,True
