CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN
1309051,1309051,10,0,0.59756,0.001,0.59629,0.001,0.59629,0.00188,0.0,300.0,0.03,0.5976,0.001,36.498741,-6.211505000000001,0.445,0.38,11.28,0.02,1.49,-999.0,57285.1875,0.787,-0.9406,0.7429,-0.1103,0.0865,22.9871,0.0884,23.2089,1.146e-05,9.3313e-07,0.0102,-0.0,-0.0,48,0.0259,0.9473,0.9232,0.9907,0.9972,0.9166,42.5321,0.1918,0.003,-0.0106,0.418,0.0,39627634560206310,36.49878091365161,-6.211563599976177,65537,GALAXY,0.5975555334793452,0
1314317,1314317,10,0,0.78807,0.001,0.78665,0.001,0.78665,0.00205,0.0,300.0,0.02,0.7881,0.001,36.597023,-5.312158999999999,1.26,1.14,11.25,0.0,1.56,-999.0,57281.8711,1.0354,-2.931,0.7392,-0.1077,0.0703,24.0169,0.0571,23.9064,4.4385e-06,2.335e-07,0.0005,-0.0,-0.0,41,0.9916,0.5501,0.9212,0.9998,0.9989,0.9997,43.2296,0.246,0.0,-0.0065,0.852,0.0,39627658610352284,36.597059427417015,-5.3122239306285515,65537,GALAXY,0.7871410989558878,0
1317956,1317956,10,0,0.87068,0.001,0.86917,0.001,0.86917,0.00212,0.0,300.0,0.02,0.8707,0.001,36.10709,-4.745394,0.102,0.1,11.22,0.04,1.26,-999.0,57007.8125,1.2528,-1.3517,0.7076,-0.1194,0.181,24.3212,0.0612,24.4352,3.3537e-06,1.8904e-07,-0.0076,-0.0,0.0,16,0.4584,0.996,0.8803,0.997,0.9996,0.8699,43.7584,0.3169,0.0043,0.0597,0.275,0.0,39627670652191124,36.10709786196135,-4.745443600158484,65537,GALAXY,0.870243748912719,0
1321116,1321116,10,0,0.62816,0.001,0.62684,0.001,0.62684,0.00191,0.0,300.0,0.02,0.6282,0.001,35.867474,-4.256627,0.774,0.5,11.11,0.01,0.62,-999.0,57022.8125,0.4431,-0.034,0.4026,-0.1437,0.0459,23.1151,0.0407,23.4459,1.0185e-05,3.8165e-07,0.0039,-0.0,-0.0,18,0.3643,0.9945,0.9736,1.0,0.9986,1.0,42.7691,0.1818,0.0,0.1307,1.0,0.0053,39627682694039936,35.86742912371491,-4.2567088352728675,65537,GALAXY,0.6272470527244169,0
1331887,1331887,10,0,0.78539,0.001,0.78398,0.001,0.78398,0.00205,0.0,300.0,0.02,0.7854,0.001,36.783813,-5.46861,0.435,0.34,11.29,0.02,0.94,-999.0,57310.2109,1.0789,-1.2211,0.6633,0.0736,0.0762,24.01,0.061,23.8903,4.4668e-06,2.508e-07,0.0194,-0.0,-0.0,42,0.6315,0.973,0.9633,0.9999,0.9992,0.9959,43.2135,0.1885,0.0001,-0.2875,0.751,0.0,39627652599910709,36.7838350562645,-5.468613875447256,65537,GALAXY,0.7851485531820707,0
1333576,1333576,10,0,0.59011,0.001,0.58893,0.001,0.58893,0.00188,0.0,300.0,0.03,0.5901,0.001,40.547623,-0.998918,3.009,2.85,10.84,0.05,1.08,-999.0,57320.582,1.1578,0.1223,0.8452,-0.1123,0.1394,22.9584,0.1287,23.2493,1.1766e-05,1.3946e-06,0.0214,-0.0,-0.0,19,0.8834,0.971,0.8623,0.964,0.725,0.9874,42.5725,0.2897,0.0004,0.0977,0.448,0.0,39627761249158926,40.547647709889254,-0.9989479315178106,65537,GALAXY,0.5904646031225057,0
1336693,1336693,10,0,0.64929,0.001,0.64795,0.001,0.64795,0.00193,0.0,300.0,0.02,0.6493,0.001,35.409367,-5.76592,3.415,2.73,11.13,0.03,1.3,-999.0,57345.3438,0.7014,-0.4356,0.516,-0.0497,0.0608,23.1947,0.0557,23.445,9.4653e-06,4.8528e-07,0.0085,-0.0,-0.0,31,0.8812,0.9907,0.9733,1.0,0.9985,1.0,42.7682,0.1164,0.0,-0.1468,0.33,0.0,39627646564303299,35.40937252175727,-5.7660349745768595,65537,GALAXY,0.6490803296990529,0
1338749,1338749,10,0,0.85956,0.001,0.85806,0.001,0.85806,0.00211,0.0,300.0,0.03,0.8596,0.001,36.048836,-4.086555000000001,1.116,0.99,11.42,0.05,1.54,-999.0,57359.9062,0.9067,-0.1164,0.5681,0.0272,0.1223,23.972,0.0508,24.0975,4.6257e-06,2.1656e-07,-0.0059,-0.0,-0.0,12,0.5761,0.8737,0.9414,1.0,0.9993,0.9983,43.4207,0.2381,0.0001,-0.2103,0.329,0.0,39627688725455449,36.04886256277138,-4.086644238577676,65537,GALAXY,0.8595172946778933,0
1339102,1339102,10,0,0.64929,0.001,0.64795,0.001,0.64795,0.00193,0.0,300.0,0.02,0.6493,0.001,35.409367,-5.76592,2.282,2.11,11.13,0.02,1.3,-999.0,57362.2578,1.186,0.7588,0.9238,0.0273,0.0714,23.6511,0.0656,23.9059,6.2169e-06,3.7565e-07,0.0169,-0.0,-0.0,28,0.3855,0.9955,1.0,1.0,0.9991,0.9999,43.2292,0.1464,0.0,-0.1993,0.31,0.0,39627646564303299,35.40937252175727,-5.7660349745768595,65537,GALAXY,0.6490803296990529,0
1347766,1347766,10,0,0.63022,0.00016,0.62889,0.00016,0.62889,0.00164,0.0,300.0,0.02,0.6302,0.0002,35.020359,-6.640621,1.558,1.35,11.29,0.07,1.7,-999.0,57405.1914,1.8958,-0.784,0.9844,-0.1882,0.1338,23.3906,0.1123,23.6926,7.9022e-06,8.1737e-07,0.0063,-0.0,-0.0,10,0.4532,0.9822,0.766,0.7029,0.1281,0.9642,43.0158,0.2879,0.0013,0.1773,0.362,0.0,39627622522554959,35.02036474483931,-6.640690238089796,65537,GALAXY,0.6305111207330636,0
1433226,1433226,10,0,0.5975,0.001,0.59619,0.001,0.59618,0.00188,0.0,300.0,0.02,0.5975,0.001,35.024567,-4.365995,0.075,0.06,11.04,0.04,1.22,-999.0,57655.4805,1.0139,-1.9448,0.6958,-0.2462,0.1006,23.1612,0.0656,23.3771,9.7619e-06,5.9023e-07,0.0137,-0.0,-0.0,55,0.6814,0.9998,0.3289,0.9999,0.9722,0.9999,42.7003,0.2069,0.0,0.2576,0.412,0.0,39627682677267767,35.024618452470555,-4.366055110529237,65537,GALAXY,0.5958624931475307,0
1434262,1434262,10,0,0.79106,0.001,0.78964,0.001,0.78964,0.00205,0.0,300.0,0.02,0.7911,0.001,36.662647,-5.117352,1.755,1.5,11.16,0.01,1.28,-999.0,57669.2148,0.5126,0.4917,0.376,-0.1741,0.033,23.6044,0.0328,23.963,6.4898e-06,1.9596e-07,0.0009,-0.0,0.0,46,0.8386,0.979,0.7988,1.0,0.9951,1.0,43.2863,0.1378,0.0,0.282,0.868,0.0,39627664637561207,36.66264881529167,-5.1174115356330585,65537,GALAXY,0.7892362522090822,0
1500086,1500086,10,0,0.64266,0.00016,0.6413,0.00016,0.64129,0.00165,0.0,300.0,0.02,0.6427,0.0002,34.374073,-5.313342,5.85,2.86,11.35,0.06,1.45,-999.0,57688.1445,0.9646,-1.8439,0.5542,-0.1287,0.0734,23.2285,0.063,23.4205,9.1749e-06,5.3273e-07,0.0021,-0.0,-0.0,46,0.0769,0.995,0.944,1.0,0.9998,0.9999,42.7437,0.1503,0.0,-0.0686,0.346,0.0,39627658576790650,34.37410372450383,-5.313410889672377,65537,GALAXY,0.6422732865174811,0
1547048,1547048,10,0,0.54579,0.00011,0.54454,0.00011,0.54454,0.00155,0.0,300.0,0.02,0.5458,0.0001,35.452789,-6.100835,0.736,0.41,11.58,0.11,1.49,-999.0,57704.6875,0.7279,-1.2813,0.5974,0.1711,0.0672,23.1226,0.0718,22.9355,1.0115e-05,6.6907e-07,0.0095,-0.0,-0.0,43,0.0076,0.9773,0.9222,0.9994,0.9942,0.8154,42.2587,0.1507,0.009,-0.5336,0.53,0.0,39627640549673000,35.45278804409126,-6.100910091801922,1152921504606912513,GALAXY,0.5457918793841511,0
1642158,1642158,10,0,0.68826,0.001,0.687,0.001,0.687,0.00196,0.0,300.0,0.03,0.6883,0.001,40.509834000000005,-0.532766,0.46,0.32,11.32,0.07,1.35,-999.0,57751.1289,1.1106,0.8112,0.8432,-0.204,0.061,23.3306,0.0559,23.769,8.3515e-06,4.3022e-07,0.0059,-0.0,0.0,20,0.9858,0.9984,0.4626,1.0,0.9919,0.9978,43.0922,0.1401,0.0,0.3469,0.277,0.0,39627773328753049,40.50985738679623,-0.5328191061898744,65537,GALAXY,0.6880465828175517,0
1645092,1645092,10,0,0.51459,0.0001,0.51337,0.0001,0.51338,0.00152,0.0,300.0,0.03,0.5146,0.0001,35.902897,-6.229851999999999,0.79,0.57,11.39,0.06,1.41,-999.0,57742.4453,1.3137,-0.7663,0.9908,-0.153,0.0906,23.1041,0.0785,23.3568,1.0289e-05,7.4378e-07,0.0118,-0.0,-0.0,26,0.5727,0.8947,0.2368,0.9999,0.9998,0.9999,42.68,0.2319,0.0,0.1199,0.557,0.0,39627634547629544,35.90290331567693,-6.229897979976981,1152921504606912513,GALAXY,0.514342670419652,0
1647048,1647048,10,0,0.71023,0.001,0.70882,0.001,0.70882,0.00198,0.0,300.0,0.02,0.7102,0.001,34.744984,-5.139049,0.394,0.31,11.15,0.04,1.55,-999.0,57758.1797,0.9169,0.0783,0.8262,-0.0627,0.0712,23.3948,0.0698,23.7668,7.8721e-06,5.0575e-07,0.0158,-0.0,-0.0,17,0.8049,0.9974,0.9248,1.0,0.9985,1.0,43.09,0.1295,0.0,-0.145,0.241,0.0,39627658580988980,34.745010590739426,-5.139105185356075,65537,GALAXY,0.7102681967368095,2
1770225,1770225,10,0,0.582,0.001,0.58074,0.001,0.58074,0.00187,0.0,300.0,0.02,0.582,0.001,36.713989,-4.197064,0.564,0.44,11.3,0.01,1.83,-999.0,57991.3008,0.6085,-1.2959,0.4523,0.0332,0.0498,23.5903,0.0493,23.4371,6.5748e-06,2.9853e-07,0.0035,-0.0,-0.0,34,0.9651,0.9043,0.9411,0.9977,0.9993,0.9825,42.7603,0.1953,0.0003,-0.1401,1.0,0.0102,39627682706626105,36.71403998663184,-4.197126815449029,65537,GALAXY,0.5839164764621046,0
1770254,1770254,10,0,0.7362,0.001,0.7348,0.001,0.7348,0.002,0.0,300.0,0.02,0.7362,0.001,36.17448,-4.716496,0.394,0.36,11.21,0.02,1.4,-999.0,57990.1289,1.0685,-1.7378,0.6719,-0.076,0.0561,23.9704,0.0519,23.9618,4.6327e-06,2.2162e-07,0.006,-0.0,-0.0,37,0.2583,0.9925,0.9808,0.9996,0.9989,0.999,43.285,0.2288,0.0,-0.0152,0.977,0.0,39627670652193549,36.17451046229703,-4.716575206101791,65537,GALAXY,0.7366407265918403,0
1810306,1810306,10,0,0.64245,0.001,0.6413,0.001,0.6413,0.00192,0.0,300.0,0.05,0.6424,0.001,43.102615,-0.5212289999999999,0.369,0.3,11.12,0.05,1.22,-999.0,58002.3359,1.1108,0.6012,0.9143,-0.1766,0.0778,23.2448,0.0906,23.6464,9.0377e-06,7.5394e-07,0.0233,-0.0,-0.0,48,0.5577,0.9259,0.67,0.9999,0.9973,0.9961,42.9696,0.1676,0.0001,0.2645,0.361,0.0,39627773370698411,43.10262489924404,-0.5212861139940604,65537,GALAXY,0.6423034648863899,0
1814082,1814082,10,0,0.64981,0.001,0.64849,0.001,0.64849,0.00193,0.0,300.0,0.02,0.6498,0.001,35.964306,-6.785246000000001,0.463,0.4,11.23,0.06,1.39,-999.0,58012.6758,1.4926,0.4898,0.9996,0.2655,0.1053,23.5265,0.109,23.515,6.9727e-06,7.0009e-07,0.0313,-0.0,-0.0,45,0.5269,0.0188,0.7269,0.5907,0.9904,0.2326,42.8382,0.167,0.0709,-0.7188,0.28,0.0,39627622539330086,35.96430519403268,-6.785316214921391,65537,GALAXY,0.6499349305639464,0
1833468,1833468,10,0,0.78516,0.001,0.78375,0.001,0.78375,0.00205,0.0,300.0,0.02,0.7852,0.001,36.868919,-4.970708999999999,0.47,0.48,11.28,0.0,1.38,-999.0,58016.5312,1.1622,-0.2801,0.6929,-0.1962,0.1401,23.9435,0.0722,24.2224,4.7488e-06,3.1588e-07,-0.0059,-0.0,-0.0,30,0.9606,0.5802,0.7608,1.0,0.9976,0.9998,43.5457,0.417,0.0,0.3065,0.886,0.0,39627664641753742,36.86895435497059,-4.970774740594874,65537,GALAXY,0.7847519546061883,0
1861472,1861472,10,0,0.83925,0.001,0.83776,0.001,0.83776,0.00209,0.0,300.0,0.02,0.8393,0.001,35.786964000000005,-4.19645,0.306,0.4,10.86,0.02,1.52,-999.0,58035.168,0.8597,0.4919,0.5466,-0.0596,0.1061,24.0334,0.0507,24.2589,4.3717e-06,2.0422e-07,-0.0018,-0.0,-0.0,28,0.7063,0.9855,0.925,1.0,0.9991,1.0,43.5821,0.2534,0.0,0.0581,0.517,0.0,39627682689852673,35.78699625355186,-4.196535546345392,65537,GALAXY,0.838991138762762,0
1878719,1878719,10,0,0.45854,0.001,0.45753,0.001,0.45753,0.00177,0.0,300.0,0.07,0.4585,0.001,43.562275,0.202752,0.752,0.69,10.59,0.03,1.29,-999.0,58052.457,0.5818,-0.0461,0.4899,-0.0786,0.0523,22.7725,0.054,23.0002,1.3964e-05,6.9483e-07,0.0035,-0.0,-0.0,38,0.0482,0.9999,0.9643,1.0,0.9999,1.0,42.3234,0.1407,0.0,0.0288,0.72,0.0,39627791498479254,43.56229330675354,0.2026766728130992,65537,GALAXY,0.45802616519445266,0
1899158,1899158,10,0,0.64881,0.001,0.64747,0.001,0.64747,0.00193,0.0,300.0,0.02,0.6488,0.001,35.008648,-6.525723999999999,0.547,0.41,11.13,0.02,1.07,-999.0,58067.2969,0.968,-1.6725,0.6903,-0.0666,0.0781,23.2598,0.0668,23.4356,8.9139e-06,5.4875e-07,0.0078,-0.0,-0.0,41,0.9842,0.9988,0.9124,1.0,0.9971,0.9999,42.7588,0.1563,0.0,-0.2185,0.333,0.0,39627628528797797,35.008767068442964,-6.525731885989921,65537,GALAXY,0.6490007624971021,0
1901257,1901257,10,0,0.521,0.001,0.51978,0.001,0.51978,0.00182,0.0,300.0,0.02,0.521,0.001,36.371342,-4.748481,0.347,0.25,11.19,0.03,1.56,-999.0,58065.1875,0.6298,-1.6919,0.5877,0.0805,0.0897,23.6064,0.107,23.294,6.4781e-06,6.386e-07,0.0255,-0.0,-0.0,33,0.7379,0.998,0.9306,0.9996,0.9998,1.0,42.6172,0.2281,0.0,-0.1921,1.0,0.0159,39627670656385815,36.37137683907213,-4.748560983120312,1152921504606912513,GALAXY,0.5227343415067952,0
1901832,1901832,10,0,0.91849,0.001,0.91696,0.001,0.91696,0.00216,0.0,300.0,0.02,0.9185,0.001,36.462135,-4.694662999999999,1.207,1.57,11.12,0.03,1.16,-999.0,58077.0898,1.0185,-1.8118,0.5918,-0.22,0.1525,24.4009,0.0598,24.5471,3.1163e-06,1.7153e-07,0.009,-0.0,0.0,23,0.0068,0.9993,0.7813,1.0,0.9955,1.0,43.8703,0.2067,0.0,0.267,0.174,0.0,39627670656388623,36.462167959704495,-4.694747408133811,65537,GALAXY,0.917920591828943,0
1906545,1906545,10,0,0.5493,0.001,0.54806,0.001,0.54806,0.00184,0.0,300.0,0.02,0.5493,0.001,36.092049,-5.413255,0.32,0.18,11.32,0.02,1.66,-999.0,58089.2695,0.6965,-0.4553,0.5569,-0.0749,0.0564,23.2997,0.0527,23.4693,8.5925e-06,4.1711e-07,0.0058,-0.0,-0.0,11,0.977,0.9966,0.9536,0.9996,0.9995,0.9998,42.7925,0.2039,0.0,0.0093,1.0,0.0046,39627652587329641,36.092057860531696,-5.413291072603066,65537,GALAXY,0.4971413770101293,0
