CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN
1297026,1297026,10,1,0.25956,0.001,0.25854,0.001,0.25854,0.00161,0.0,300.0,0.02,0.2596,0.001,35.82106,-5.182104,0.286,0.23,10.87,0.02,1.54,-999.0,56928.9258,0.2569,-0.631,0.1438,-0.0123,0.0178,21.2601,0.0216,21.264,5.6226e-05,1.1191e-06,0.0004,-0.0,-0.0,35,0.9835,0.9988,0.9938,1.0,0.9999,1.0,40.5872,0.1179,0.0,-0.0482,1.0,0.0091,39627658597767657,35.82105371176709,-5.182171516295218,1152921504606846976,GALAXY,0.2593013388076923,0
1298079,1298079,10,0,0.26136,4e-05,0.26048,4e-05,0.26048,0.00126,0.0,300.0,0.06,0.0,0.0,43.203381,-0.5898100000000001,1.788,1.14,11.17,0.02,1.36,-999.0,56932.6953,0.3057,-0.1726,0.2334,0.0504,0.0195,21.5174,0.0261,21.4163,4.4366e-05,1.068e-06,0.0005,-0.0,-0.0,36,0.9418,0.9981,0.9227,1.0,0.9999,0.9997,40.7395,0.1477,0.0,-0.0651,1.0,0.0154,39627773370701362,43.20338614389978,-0.5898748819603726,1152921504606846976,GALAXY,0.26145973638923714,0
1298893,1298893,10,1,0.19712,0.001,0.19616,0.001,0.19616,0.00156,0.0,300.0,0.03,0.1971,0.001,35.724442,-6.257048,1.66,0.81,10.79,0.07,1.46,-999.0,56935.8242,0.2865,-2.3003,0.262,-0.0278,0.0401,20.8495,0.0531,20.6292,8.2071e-05,4.0156e-06,0.0039,-0.0,-0.0,23,0.9401,0.9996,0.9128,0.9963,0.1421,0.9998,39.9524,0.1222,0.0,-0.0442,1.0,0.0048,39627634547622962,35.72448458955531,-6.25702977654493,1152921504606846976,GALAXY,0.19727293356091155,0
1303952,1303952,10,1,0.56387,0.00013,0.56262,0.00013,0.56262,0.00157,0.0,300.0,0.02,0.5639,0.0001,35.872189,-6.922432000000001,2.353,1.7,11.29,0.04,1.21,-999.0,57289.082,0.6049,0.8428,0.6782,-0.1525,0.066,22.9137,0.0806,23.2719,1.2261e-05,9.1002e-07,0.0123,-0.0,-0.0,47,0.7062,0.9994,0.6362,0.9999,0.9986,1.0,42.5951,0.1521,0.0,0.2716,0.464,0.0,39627616537284425,35.87220380793423,-6.922474666506797,1152921504606912513,GALAXY,0.5634999755580041,0
1306378,1306378,10,0,0.36195,0.001,0.36101,0.001,0.36101,0.00169,0.0,300.0,0.06,0.362,0.001,43.7551,-0.032378,0.297,0.31,10.46,0.01,0.75,-999.0,57286.4531,0.7562,2.2587,0.5198,0.1987,0.0355,22.5076,0.0479,22.2194,1.7822e-05,7.8649e-07,0.004,-0.0,-0.0,52,0.6176,0.9775,0.2736,0.9998,0.9752,0.9975,41.5427,0.2078,0.0001,0.0509,1.0,0.0247,39627785462874275,43.75512230835942,-0.03242425001467156,1152921504606846976,GALAXY,0.3617950919847914,0
1308582,1308582,10,101,0.36812,0.001,0.36704,0.001,0.36704,0.00169,0.0,300.0,0.02,0.3681,0.001,37.137203,-4.372703,0.296,0.29,10.66,0.02,1.43,-999.0,57287.7578,0.272,-0.7354,0.2283,-0.0645,0.0229,21.8038,0.0274,21.9297,3.408e-05,8.5937e-07,0.0023,-0.0,-0.0,46,0.6861,0.1813,1.0,0.9993,0.9998,0.9999,41.2529,0.1005,0.0,-0.0242,1.0,0.0042,39627682715011791,37.13723704506602,-4.372766481592676,1152921504606846976,GALAXY,0.36781633071729397,0
1309013,1309013,10,0,0.21358,0.001,0.2126,0.001,0.2126,0.00157,0.0,300.0,0.02,0.2136,0.001,35.46608,-7.339446000000001,1.942,1.29,10.49,0.01,0.89,-999.0,57292.4297,0.3234,-0.9442,0.2125,0.226,0.0301,21.4359,0.0472,20.6874,4.7824e-05,2.0808e-06,0.0025,-0.0,-0.0,49,0.3989,0.9758,0.6707,1.0,0.9996,1.0,40.0106,0.1872,0.0,-0.0892,1.0,0.029,39627610531044255,35.46609439743135,-7.339503564131976,1152921504606846976,GALAXY,0.2135777246605755,0
1310367,1310367,10,0,0.23433,0.001,0.23332,0.001,0.23332,0.00159,0.0,300.0,0.02,0.2343,0.001,34.742355,-6.718553,0.511,0.53,10.54,0.01,1.19,-999.0,56981.4492,0.2525,-1.3956,0.2983,-0.0181,0.0242,21.213,0.0311,21.1194,5.8721e-05,1.6813e-06,0.0021,-0.0,-0.0,40,0.6549,0.9998,0.8689,1.0,1.0,1.0,40.4426,0.119,0.0,-0.0556,1.0,0.0066,39627622518359626,34.74236317748308,-6.7186009390682395,1152921504606846976,GALAXY,0.23415889431160547,0
1314162,1314162,10,0,0.58267,0.001,0.58141,0.001,0.58141,0.00187,0.0,300.0,0.02,0.5827,0.001,36.859703,-4.183278,1.222,1.15,11.0,0.01,0.73,-999.0,57003.8047,0.5135,0.0685,0.3632,-0.0025,0.039,23.2362,0.0329,23.3272,9.1101e-06,2.7606e-07,0.0026,-0.0,-0.0,26,0.8748,0.9993,0.979,0.9999,0.9998,0.9998,42.6504,0.1624,0.0,-0.0534,1.0,0.0071,39627682710817059,36.85978090264761,-4.18338386865734,1152921504606846976,GALAXY,0.581354773218442,0
1314897,1314897,10,1,0.33769,0.001,0.33662,0.001,0.33662,0.00167,0.0,300.0,0.02,0.3377,0.001,36.606773,-4.154642,1.937,1.19,10.9,0.01,1.1,-999.0,57301.9688,0.3148,-0.0867,0.2594,-0.0273,0.033,21.6838,0.0309,21.8144,3.8059e-05,1.0822e-06,-0.0,-0.0,-0.0,17,0.0028,0.9866,1.0,0.9994,0.987,0.9997,41.1376,0.1475,0.0,-0.0405,1.0,0.0052,39627682706622418,36.60681045324783,-4.1547186232597575,1152921504606846976,GALAXY,0.3379330828907442,0
