SURVEY:  DES3YR_LOWZ_COMBINED(CFA3K)
SNID:    2006ax      
IAUC:    2006ax      
RA:       171.01430  deg
DECL:     -12.29153  deg
MWEBV: 0.051 (SFD98)
REDSHIFT_HELIO: 0.0164969703239 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0177266895771 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0177266895771 +- 0.000 (CMB)
HOSTGAL_LOGMASS:  5.0 +- 10.0   # RK 1/08/2018
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53827.512
FILTERS:  abcdefghijklmnopqrstuvwxyzA  # UBVri -> fghij       
#
# Variables copied from
#   /project/rkessler/SN/INTERNAL/DES/simlibs/VPEC_LOWZ.TXT
VPEC:  -56.5091017456
VPEC_ERR:  250.0
#
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS: 283
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53859.164  f  NULL   5797.       376.8     18.092  0.065
OBS:  53859.168  g  NULL   7185.       165.2     17.859  0.023
OBS:  53860.133  i  NULL  0.2544E+05   407.1     16.486  0.016
OBS:  53860.137  j  NULL  0.2235E+05   402.2     16.627  0.018
OBS:  53860.137  h  NULL  0.1968E+05   373.9     16.765  0.019
OBS:  53860.141  f  NULL   5263.       921.0     18.197  0.175
OBS:  53860.148  g  NULL   6631.       159.1     17.946  0.024
OBS:  53870.172  j  NULL  0.1301E+05   286.3     17.214  0.022
OBS:  53870.172  i  NULL  0.1441E+05   288.3     17.103  0.020
OBS:  53870.176  h  NULL  0.1187E+05   296.7     17.314  0.025
OBS:  53870.180  g  NULL   5082.       482.8     18.235  0.095
OBS:  53870.184  f  NULL   4866.       1494.     18.282  0.307
OBS:  53879.195  j  NULL   9036.       189.8     17.610  0.021
OBS:  53879.199  i  NULL  0.1107E+05   210.3     17.390  0.019
OBS:  53879.199  h  NULL  0.1009E+05   191.8     17.490  0.019
OBS:  53879.203  g  NULL   4161.       116.5     18.452  0.028
OBS:  53879.203  f  NULL   2951.       935.5     18.825  0.317
OBS:  53879.207  f  NULL   2911.       937.3     18.840  0.322
OBS:  53899.156  j  NULL   4146.       277.8     18.456  0.067
OBS:  53899.156  i  NULL   6065.       339.6     18.043  0.056
OBS:  53899.156  h  NULL   6217.       342.0     18.016  0.055
OBS:  53899.160  g  NULL   2879.       184.2     18.852  0.064
OBS:  53899.164  f  NULL   3455.       1105.     18.654  0.320
OBS:  53899.168  f  NULL   3512.       1149.     18.636  0.327
OBS:      53815.1     t      md      8814.56    149.847    17.6370    0.0170000
OBS:      53818.2     t      md      29621.1    385.074    16.3210    0.0130000
OBS:      53819.2     t      md      37256.3    521.588    16.0720    0.0140000
OBS:      53823.2     t      md      56911.5    739.849    15.6120    0.0130000
OBS:      53824.2     t      md      58721.9    645.941    15.5780    0.0110000
OBS:      53828.0     t      md      55411.6    498.704    15.6410    0.00900000
OBS:      53831.1     t      md      44218.1    619.054    15.8860    0.0140000
OBS:      53832.1     t      md      39192.2    509.499    16.0170    0.0130000
OBS:      53834.2     t      md      31535.5    409.962    16.2530    0.0130000
OBS:      53835.1     t      md      29349.5    410.893    16.3310    0.0140000
OBS:      53838.2     t      md      18535.3    704.342    16.8300    0.0380000
OBS:      53840.1     t      md      16173.3    291.120    16.9780    0.0180000
OBS:      53841.2     t      md      14086.4    183.123    17.1280    0.0130000
OBS:      53845.1     t      md      8605.97    111.878    17.6630    0.0130000
OBS:      53850.1     t      md      4764.31    80.9933    18.3050    0.0170000
OBS:      53858.1     t      md      2739.05    60.2591    18.9060    0.0220000
OBS:      53861.1     t      md      2282.44    66.1909    19.1040    0.0290000
OBS:      53866.0     t      md      2053.05    84.1752    19.2190    0.0410000
OBS:      53867.1     t      md      1862.09    96.8285    19.3250    0.0520000
OBS:      53870.1     t      md      1766.85    86.5757    19.3820    0.0490000
OBS:      53871.0     t      md      1863.80    65.2331    19.3240    0.0350000
OBS:      53815.1     u      md      20137.3    181.235    16.7400    0.00900000
OBS:      53816.3     u      md      28523.3    228.187    16.3620    0.00800000
OBS:      53818.2     u      md      44463.2    400.168    15.8800    0.00900000
OBS:      53819.2     u      md      52966.4    476.698    15.6900    0.00900000
OBS:      53821.1     u      md      66803.6    267.215    15.4380    0.00400000
OBS:      53823.2     u      md      76771.5    537.401    15.2870    0.00700000
OBS:      53824.2     u      md      82186.4    493.119    15.2130    0.00600000
OBS:      53828.0     u      md      84100.9    336.403    15.1880    0.00400000
OBS:      53831.1     u      md      76913.1    615.305    15.2850    0.00800000
OBS:      53832.1     u      md      73451.4    440.708    15.3350    0.00600000
OBS:      53834.2     u      md      64983.0    454.881    15.4680    0.00700000
OBS:      53835.1     u      md      61150.5    428.053    15.5340    0.00700000
OBS:      53838.2     u      md      47467.9    522.147    15.8090    0.0110000
OBS:      53840.1     u      md      40550.9    324.407    15.9800    0.00800000
OBS:      53841.2     u      md      36241.0    253.687    16.1020    0.00700000
OBS:      53845.1     u      md      24434.3    195.474    16.5300    0.00800000
OBS:      53850.1     u      md      14750.3    103.252    17.0780    0.00700000
OBS:      53858.1     u      md      8120.82    73.0874    17.7260    0.00900000
OBS:      53861.1     u      md      7164.74    85.9769    17.8620    0.0120000
OBS:      53866.0     u      md      5937.45    89.0618    18.0660    0.0150000
OBS:      53867.1     u      md      5546.26    110.925    18.1400    0.0200000
OBS:      53870.1     u      md      5291.76    68.7929    18.1910    0.0130000
OBS:      53871.0     u      md      5176.07    67.2889    18.2150    0.0130000
OBS:      53872.0     u      md      5025.74    65.3347    18.2470    0.0130000
OBS:      53890.1     u      md      3819.44    61.1111    18.5450    0.0160000
OBS:      53891.0     u      md      3684.68    73.6937    18.5840    0.0200000
OBS:      53892.0     u      md      3607.45    39.6819    18.6070    0.0110000
OBS:      53898.0     u      md      3400.95    34.0095    18.6710    0.0100000
OBS:     53815.1     x     md     19915.9     199.159     16.7520     0.0100000
OBS:     53818.2     x     md     41039.3     328.315     15.9670     0.00800000
OBS:     53819.2     x     md     48618.3     437.565     15.7830     0.00900000
OBS:     53823.2     x     md     71779.5     502.457     15.3600     0.00700000
OBS:     53824.2     x     md     76771.5     460.629     15.2870     0.00600000
OBS:     53828.0     x     md     82794.3     165.589     15.2050     0.00200000
OBS:     53831.1     x     md     79067.9     632.543     15.2550     0.00800000
OBS:     53832.1     x     md     76771.5     460.629     15.2870     0.00600000
OBS:     53834.2     x     md     71449.6     428.698     15.3650     0.00600000
OBS:     53835.1     x     md     69374.5     416.247     15.3970     0.00600000
OBS:     53838.2     x     md     59319.8     355.919     15.5670     0.00600000
OBS:     53840.1     x     md     53064.0     371.448     15.6880     0.00700000
OBS:     53841.2     x     md     50582.5     303.495     15.7400     0.00600000
OBS:     53845.1     x     md     41266.7     247.600     15.9610     0.00600000
OBS:     53850.1     x     md     31593.7     157.968     16.2510     0.00500000
OBS:     53858.1     x     md     20568.4     185.116     16.7170     0.00900000
OBS:     53861.1     x     md     17636.0     141.088     16.8840     0.00800000
OBS:     53866.0     x     md     13995.9     125.963     17.1350     0.00900000
OBS:     53867.1     x     md     13267.8     145.946     17.1930     0.0110000
OBS:     53870.1     x     md     12033.7     120.337     17.2990     0.0100000
OBS:     53871.0     x     md     11727.4     129.001     17.3270     0.0110000
OBS:     53872.0     x     md     11376.3     136.515     17.3600     0.0120000
OBS:     53890.1     x     md     7297.94     80.2774     17.8420     0.0110000
OBS:     53891.0     x     md     7164.74     93.1416     17.8620     0.0130000
OBS:     53892.0     x     md     7046.94     42.2816     17.8800     0.00600000
OBS:     53898.0     x     md     6058.99     42.4129     18.0440     0.00700000
OBS:      53815.1     y      md      21777.1    174.217    16.6550    0.00800000
OBS:      53818.2     y      md      46644.4    326.511    15.8280    0.00700000
OBS:      53819.2     y      md      55616.1    389.312    15.6370    0.00700000
OBS:      53823.2     y      md      81283.0    487.698    15.2250    0.00600000
OBS:      53824.2     y      md      86139.1    430.695    15.1620    0.00500000
OBS:      53828.0     y      md      90115.6    270.347    15.1130    0.00300000
OBS:      53831.1     y      md      84023.3    756.210    15.1890    0.00900000
OBS:      53832.1     y      md      80760.7    323.043    15.2320    0.00400000
OBS:      53834.2     y      md      72644.0    435.864    15.3470    0.00600000
OBS:      53835.1     y      md      69694.8    418.169    15.3920    0.00600000
OBS:      53838.2     y      md      57438.1    402.067    15.6020    0.00700000
OBS:      53840.1     y      md      50303.7    301.822    15.7460    0.00600000
OBS:      53841.2     y      md      46216.8    277.301    15.8380    0.00600000
OBS:      53845.1     y      md      33082.6    198.496    16.2010    0.00600000
OBS:      53850.1     y      md      21817.2    152.721    16.6530    0.00700000
OBS:      53858.1     y      md      11978.4    71.8705    17.3040    0.00600000
OBS:      53861.1     y      md      10176.5    81.4123    17.4810    0.00800000
OBS:      53866.0     y      md      8379.16    92.1707    17.6920    0.0110000
OBS:      53867.1     y      md      7928.66    95.1439    17.7520    0.0120000
OBS:      53870.1     y      md      7509.30    75.0930    17.8110    0.0100000
OBS:      53871.0     y      md      7257.72    58.0618    17.8480    0.00800000
OBS:      53872.0     y      md      7184.56    71.8456    17.8590    0.0100000
OBS:      53890.1     y      md      5204.75    57.2523    18.2090    0.0110000
OBS:      53891.0     y      md      5277.16    58.0487    18.1940    0.0110000
OBS:      53892.0     y      md      5147.54    30.8852    18.2210    0.00600000
OBS:      53898.0     y      md      4647.29    27.8837    18.3320    0.00600000
OBS:      53815.1     z      md      19054.6    190.546    16.8000    0.0100000
OBS:      53818.2     z      md      40327.4    322.619    15.9860    0.00800000
OBS:      53819.2     z      md      47511.7    380.093    15.8080    0.00800000
OBS:      53823.2     z      md      68738.5    412.431    15.4070    0.00600000
OBS:      53824.2     z      md      72778.0    436.668    15.3450    0.00600000
OBS:      53828.0     z      md      78777.1    157.554    15.2590    0.00200000
OBS:      53831.1     z      md      75578.9    680.210    15.3040    0.00900000
OBS:      53832.1     z      md      72912.2    437.473    15.3430    0.00600000
OBS:      53834.2     z      md      66742.1    400.453    15.4390    0.00600000
OBS:      53835.1     z      md      64268.8    321.344    15.4800    0.00500000
OBS:      53838.2     z      md      52095.5    312.573    15.7080    0.00600000
OBS:      53840.1     z      md      46089.3    230.447    15.8410    0.00500000
OBS:      53841.2     z      md      44299.6    265.798    15.8840    0.00600000
OBS:      53845.1     z      md      39156.2    234.937    16.0180    0.00600000
OBS:      53850.1     z      md      37290.7    223.744    16.0710    0.00600000
OBS:      53858.1     z      md      28734.3    201.140    16.3540    0.00700000
OBS:      53861.1     z      md      24479.4    171.356    16.5280    0.00700000
OBS:      53866.0     z      md      18518.3    148.146    16.8310    0.00800000
