Field Band MY t_eff_cut psf_cut n_exp t_exp_tot m_lim
SN-X1 i 4 0.2 2.2 63 3.5 25.59
SN-X1 i 5 0.2 2.2 66 3.67 25.63
SN-X1 z 1 0.3 2.2 175 9.72 25.38
SN-X1 z 2 0.3 2.2 132 7.33 25.3
SN-X1 z 3 0.3 2.2 141 7.83 25.22
SN-X1 z 4 0.3 2.2 124 6.89 25.39
SN-X1 z 5 0.3 2.2 136 7.56 25.35
SN-X2 g 1 0.26 2.4 64 3.11 26.28
SN-X2 g 2 0.26 2.4 50 2.43 26.25
SN-X2 g 3 0.26 2.4 47 2.28 26.18
SN-X2 g 4 0.26 2.4 48 2.33 26.21
SN-X2 g 5 0.26 2.4 51 2.48 26.19
SN-X2 r 1 0.2 2.2 77 3.21 26.12
SN-X2 r 2 0.2 2.2 60 2.5 25.94
SN-X2 r 3 0.2 2.2 58 2.42 25.98
SN-X2 r 4 0.2 2.2 56 2.33 26.0
SN-X2 r 5 0.2 2.2 61 2.54 25.99
SN-X2 i 1 0.2 2.2 90 5.0 25.89
SN-X2 i 2 0.2 2.2 69 3.83 25.69
SN-X2 i 3 0.2 2.2 70 3.89 25.77
SN-X2 i 4 0.2 2.2 67 3.72 25.75
SN-X2 i 5 0.2 2.2 68 3.78 25.76
SN-X2 z 1 0.3 2.2 180 10.0 25.5
SN-X2 z 2 0.3 2.2 134 7.44 25.25
SN-X2 z 3 0.3 2.2 137 7.61 25.25
SN-X2 z 4 0.3 2.2 134 7.44 25.47
SN-X2 z 5 0.3 2.2 143 7.94 25.48
SN-X3 g 1 0.06 2.4 249 13.83 26.89
SN-X3 g 2 0.06 2.4 196 10.89 26.66
SN-X3 g 3 0.06 2.4 194 10.78 26.65
SN-X3 g 4 0.06 2.4 175 9.72 26.81
SN-X3 g 5 0.06 2.4 182 10.11 26.81
SN-X3 r 1 0.2 2.2 225 25.0 27.0
SN-X3 r 2 0.2 2.2 175 19.44 26.71
SN-X3 r 3 0.2 2.2 171 19.0 26.73
SN-X3 r 4 0.2 2.2 169 18.78 26.85
SN-X3 r 5 0.2 2.2 172 19.11 26.91
SN-X3 i 1 0.4 2.2 265 26.5 26.33
SN-X3 i 2 0.4 2.2 201 20.1 26.16
SN-X3 i 3 0.4 2.2 215 21.5 26.04
SN-X3 i 4 0.4 2.2 214 21.4 26.39
SN-X3 i 5 0.4 2.2 185 18.5 26.33
SN-X3 z 1 0.5 2.2 684 62.7 26.0
SN-X3 z 2 0.5 2.2 510 46.75 25.85
SN-X3 z 3 0.5 2.2 524 48.03 25.76
SN-X3 z 4 0.5 2.2 528 48.4 25.92
SN-X3 z 5 0.5 2.2 534 48.95 25.98
