,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
57,1253572,0.5197,0.0001,9.218292,0.05942641,0.80462265,0.09245672,9.685661,0.040148277,0.5423393,0.026205625
58,1254000,0.5329999999999999,0.0001,9.662174,0.05773588,0.8512001,0.07155421,10.305464,0.011716012,0.6901245,0.019491386
59,1254002,0.5359,0.0001,10.170224,0.07412541,1.5836983,0.046298034,10.692695,0.019861583,1.5904045,0.020690475
60,1254299,0.495,0.0001,10.269475,0.049405638,1.6091232,0.07983557,10.83193,0.014165104,1.0220261,0.018942239
61,1254746,0.4856,0.0001,9.225164,0.09006705,0.7114525,0.085350424,11.405142,0.01962996,2.1191216,0.024744662
62,1255008,0.4438,0.0001,10.404279,0.09638575,1.8024178,0.05463094,10.83966,0.10887165,1.6532516,0.021623516
63,1255312,0.3556,0.0001,9.7287655,0.030789811,1.4826775,0.042749513,10.593865,0.05431565,1.3964844,0.014320674
64,1255399,0.3814,0.0001,8.829875,0.05565579,0.87678146,0.054209217,10.73597,0.024913557,1.2982903,0.013469819
65,1255412,0.3720000000000001,0.0001,9.5506115,0.0465048,0.98152924,0.05638702,10.443614,0.011274449,0.9405441,0.013254987
66,1255470,0.4688,0.0001,9.846535,0.119873025,1.5064354,0.088487536,10.898914,0.053660903,1.4328728,0.019028788
67,1255487,0.4501,0.0001,9.036489,0.04854858,0.4155197,0.08301233,9.479946,0.019852892,0.3682022,0.017858027
68,1255523,0.5554,0.0001,10.642875,0.12881477,1.7796478,0.09859242,10.82063,0.013755979,1.7262039,0.02249374
69,1255576,0.2801,0.0001,8.533495,0.048950907,1.233963,0.09288001,10.7590475,0.048470944,1.4245987,0.036951505
70,1256332,0.478,0.0001,8.917169,0.08575318,1.1634216,0.13394445,9.91511,0.016035303,1.1006584,0.01872219
71,1256505,0.5563,0.0001,9.146092,0.11402404,1.1856041,0.08344596,10.305082,0.04894541,1.6554832,0.035004873
72,1256570,0.3473,0.0001,9.969585,0.034224972,1.7527122,0.08260879,10.286638,0.026610943,1.711277,0.014232994
73,1256680,0.2944,0.0001,9.086115,0.11397781,0.41158676,0.077318996,9.646494,0.04432175,0.17482376,0.02975886
74,1256701,0.4363,0.0001,9.682152,0.10777449,1.6934395,0.08190895,10.348072,0.05886409,1.6172447,0.02076148
75,1256764,0.5565,0.0001,8.941235,0.06713928,1.2156792,0.11142795,10.492291,0.019053562,0.7620926,0.021225834
76,1256817,0.4798,0.0001,10.377516,0.049292002,1.6102219,0.14996625,10.802581,0.016699456,1.4499245,0.016492657
77,1256933,0.3528,0.0001,8.56996,0.055597987,0.5243454,0.063436665,10.562118,0.018264959,0.7774124,0.020851688
